alt,path,link,source
haylin,haylin_button_e2.png,,
haylin,haylin.png,,
jordan,jordan.gif,https://jordane.day,https://jordane.day/badges/jordan.gif
ezri,ezri.png,https://ezri.pet,https://ezri.pet/assets/img/badges/ezri.png
diamond,d14.gif,https://libdb.so,https://libdb.so/_fs/pics/88x31/d14.gif
gianni,gb82_88x31.webp,https://giannirosato.com,https://giannirosato.com/static/images/88x31/gb82_88x31.webp
varun,varun.ch.png,https://varun.ch,https://varun.ch/image/88x31/varun.ch.png
nc,webring_sign.png,https://pineco.net,https://pineco.net/sillyStuff/webring_sign.png
pixilic,hunter.png,https://pixilic.com,https://pixilic.com/wp-content/uploads/2023/11/hunter.png
notnite,notnite.png,https://notnite.com,https://notnite.com/buttons/notnite.png
lily,lily_pet.gif,https://lily.pet,
thomas ricci,thomasricci.dev.png,https://thomasricci.dev,https://button.thomasricci.dev/
goldenstack,golden_stack.png,https://goldenstack.net,https://goldenstack.net/88x31.png
eva,kibty.town-badge.gif,https://kibty.town/,https://kibty.town/files/img/buttons/kibty.town-badge.gif
mat,mat.png,https://matdoes.dev,https://matdoes.dev/retro/buttons/mat.png
slonk,slonk.apng,https://slonk.ing,https://slonk.ing/img/88x31.apng
zptr,zeroptr.apng,https://zptr.cc,https://zptr.cc/88x31/webring/zeroptr.png
dami,dam.gif,https://damcraft.de,https://damcraft.de/assets/88x31/dam.gif
miaowing,88x31_miaowing.png,https://miaow.ing,https://miaow.ing/images/88x31_miaowing.png
retr0id,retr0id_now.gif,https://www.da.vidbuchanan.co.uk/,https://www.da.vidbuchanan.co.uk/buttons/retr0id_now.gif
sam,sam.webp,https://samranda.com,https://samranda.com/images/buttons/sam.webp
josh,ptnote.png,https://ptnote.dev,https://ptnote.dev/images/ptnote.png
lyra,lyra.png,https://lyra.horse,https://lyra.horse/badges/lyra.horse.png
Fediverse,fediverse.gif,https://starry.cafe/@haylin,
Github,github.png,https://github.com/haylinmoore,
Powered by Penguins,penguins.gif,https://kernel.org,
Powered by NixOS,powered_by_nixos.gif,https://nixos.org/,https://libdb.so/_fs/pics/88x31/powered_by_nixos.gif
Powered by Debian,debian.gif,https://debian.org,
UMass,umass.png,https://umass.edu,https://raw.githubusercontent.com/umacabal/umaring/refs/heads/main/umass.png
Powered by Estrogen,e2v2-88x31.gif,https://hrt.coffee/,
Music For The Gays!,gaymusic.gif,https://underscores.bandcamp.com/album/wallsocket,
VSCode,vscode.gif,https://code.visualstudio.com,
Firefox,firefoxget.gif,https://firefox.com,
Rust!,runrust.png,https://rust-lang.org,
say no to web3,roly-saynotoweb3.gif,https://yesterweb.org/no-to-web3/,
